reliability,paper,subj_id,experiment,stimuli,training,hab,first.test,goal,mitten,causal,ageday,sex,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,n_hab,total_hab,firstthree,lastthree,habbed,T1,T2,T3,T4,T5,T6,ineff.1,ineff.2,ineff.3,eff.1,eff.2,eff.3,prop.ineff1,prop.ineff2,prop.ineff3,prop.ineff.all,avg.ineff,avg.eff,pref
1,LBS,S5_9,Exp.5,"H5, T4",no.training,constrained,efficient,pick.up,no.mitten,yes.causal,101,f,21.39,11.29,5.11,6.85,5,5.13,,,,,,,6,54.77,37.79,16.98,1,4.2,5.4,7.4,6.1,5,5.4,5.42,6.14,5.36,4.16,7.41,5.02,0.5658,0.4531,0.5164,0.511759,5.64,5.53,ineff
0,LBS,S5_11,Exp.5,"H5, T4",no.training,constrained,inefficient,pick.up,no.mitten,yes.causal,120,f,29.12,16.47,45,24.03,24.52,13.88,8.31,11.89,,,,,8,173.22,90.59,34.08,1,7.8,6.9,5.3,4.3,4.1,5.2,7.81,5.25,4.13,6.85,4.29,5.23,0.5327,0.5503,0.4412,0.508099,5.73,5.456667,ineff
0,LBS,S5_12,Exp.5,"H5, T4",no.training,constrained,inefficient,pick.up,no.mitten,yes.causal,108,m,23.66,17.68,15.7,18.21,5.71,8.77,10.45,,,,,,7,100.18,57.04,24.93,1,10.7,9.3,9.6,8.1,4.6,5.9,10.67,9.56,4.59,9.34,8.05,5.86,0.5332,0.5429,0.4392,0.505114,8.273333,7.75,ineff
0,LBS,S5_13,Exp.5,"H5, T4",no.training,constrained,inefficient,pick.up,no.mitten,yes.causal,109,m,42.31,13.14,23.8,14.29,14.5,12.21,19.36,13.21,13.21,10.69,4.85,,11,181.57,79.25,28.75,1,8.9,7.2,8,11.2,11.2,13.7,8.88,8,11.2,7.16,11.22,13.71,0.5536,0.4162,0.4496,0.473156,9.36,10.696667,eff
0,LBS,S5_14,Exp.5,"H5, T4",no.training,constrained,inefficient,pick.up,no.mitten,yes.causal,97,f,45,26.85,29.21,45,29.93,24.99,7.25,6.51,,,,,8,214.74,101.06,38.75,1,21.3,12.4,7.9,5.3,10.5,6.2,21.27,7.86,10.49,12.41,5.26,6.2,0.6315,0.5991,0.6285,0.619713,13.206667,7.956667,ineff
0,LBS,S5_15,Exp.5,"H5, T4",no.training,constrained,inefficient,pick.up,no.mitten,yes.causal,104,f,45,20.49,11.11,8.43,3.83,14.36,,,,,,,6,103.22,76.6,26.62,1,4.6,4.6,8.1,4.6,14.4,4.2,4.57,8.05,14.38,4.56,4.58,4.22,0.5005,0.6374,0.7731,0.637012,9,4.453333,ineff
1,LBS,S5_16,Exp.5,"H5, T4",no.training,constrained,inefficient,pick.up,no.mitten,yes.causal,110,f,11.38,29.05,4.54,6.17,5.05,9.7,,,,,,,6,65.89,44.97,20.92,1,7.3,4.3,4.5,8.5,9.2,4.2,7.32,4.49,9.23,4.27,8.48,4.17,0.6316,0.3462,0.6888,0.555523,7.013333,5.64,ineff
1,LBS,S5_17,Exp.5,"H5, T4",no.training,constrained,inefficient,pick.up,no.mitten,yes.causal,113,f,45,36.72,17.75,11.02,24.39,26.53,7.41,,,,,,7,168.82,99.47,58.33,1,8.6,20,11.5,8.2,9.1,11.7,8.58,11.45,9.1,19.95,8.24,11.65,0.3007,0.5815,0.4386,0.440268,9.71,13.28,eff
1,LBS,S5_18,Exp.5,"H5, T4",no.training,constrained,inefficient,pick.up,no.mitten,yes.causal,105,m,33.3,10.23,9.44,7.81,5.34,4.66,,,,,,,6,70.78,52.97,17.81,1,4,4.8,10.3,4,5.5,8.1,3.98,10.26,5.5,4.83,3.95,8.1,0.4518,0.722,0.4044,0.526066,6.58,5.626667,ineff
1,LBS,S5_19,Exp.5,"H5, T4",no.training,constrained,inefficient,pick.up,no.mitten,yes.causal,116,f,20.26,7.72,16.55,11.52,8.51,11.76,7.6,4.25,5.91,,,,9,94.08,44.53,17.76,1,7.3,9.7,8.7,2.6,11.9,14.4,7.25,8.65,11.86,9.66,2.55,14.41,0.4287,0.7723,0.4515,0.550842,9.253333,8.873333,ineff
1,LBS,S5_20,Exp.5,"H5, T4",no.training,constrained,inefficient,pick.up,no.mitten,yes.causal,107,f,45,41.82,11.3,21.37,21.38,10.27,,,,,,,6,151.14,98.12,53.02,1,20.8,9.1,18.6,11.9,5,5.4,20.82,18.63,4.99,9.13,11.89,5.36,0.6952,0.6104,0.4821,0.595901,14.813333,8.793333,ineff
