row,experiment,subj_id,coder,orig_id,trial,newlook,look.orig,gap
331,Exp.4,S4_17,BP,15-EK,1,3.993,8.5,-4.507
332,Exp.4,S4_17,BP,15-EK,2,3.465,13.9,-10.435
333,Exp.4,S4_17,BP,15-EK,3,4.059,4.5,-0.441
334,Exp.4,S4_17,BP,15-EK,4,3.201,3.9,-0.699
335,Exp.4,S4_17,BP,15-EK,5,5.148,4.7,0.448
336,Exp.4,S4_17,BP,15-EK,6,2.574,17,-14.426
337,Exp.4,S4_18,DE,18-CC,1,2.64,8.7,-6.06
338,Exp.4,S4_18,DE,18-CC,2,3.597,7.2,-3.603
339,Exp.4,S4_18,DE,18-CC,3,4.323,37,-32.677
340,Exp.4,S4_18,DE,18-CC,4,8.844,6.2,2.644
341,Exp.4,S4_18,DE,18-CC,5,9.636,7.3,2.336
342,Exp.4,S4_18,DE,18-CC,6,1.749,9.9,-8.151
343,Exp.4,S4_19,BP,13-BG,1,9.702,25.3,-15.598
344,Exp.4,S4_19,BP,13-BG,2,4.422,45,-40.578
345,Exp.4,S4_19,BP,13-BG,3,5.94,30.6,-24.66
346,Exp.4,S4_19,BP,13-BG,4,11.88,6.1,5.78
347,Exp.4,S4_19,BP,13-BG,5,6.369,12.6,-6.231
348,Exp.4,S4_19,BP,13-BG,6,22.011,11.1,10.911
349,Exp.4,S4_20,DE,14-YS,1,4.422,18,-13.578
350,Exp.4,S4_20,DE,14-YS,2,10.131,9.7,0.431
351,Exp.4,S4_20,DE,14-YS,3,6.996,8.6,-1.604
352,Exp.4,S4_20,DE,14-YS,4,3.894,9.1,-5.206
353,Exp.4,S4_20,DE,14-YS,5,3.762,9.2,-5.438
354,Exp.4,S4_20,DE,14-YS,6,3.036,7,-3.964
355,Exp.4,S4_5,DE,20-RB,1,3.828,15.6,-11.772
356,Exp.4,S4_5,DE,20-RB,2,3.696,7.8,-4.104
357,Exp.4,S4_5,DE,20-RB,3,3.3,4.9,-1.6
358,Exp.4,S4_5,DE,20-RB,4,3.003,4.7,-1.697
359,Exp.4,S4_5,DE,20-RB,5,3.333,5.2,-1.867
360,Exp.4,S4_5,DE,20-RB,6,2.937,5,-2.063
361,Exp.4,S4_6,NG,19-ID,1,6.666,9.3,-2.634
362,Exp.4,S4_6,NG,19-ID,2,6.072,14.3,-8.228
363,Exp.4,S4_6,NG,19-ID,3,13.299,22.7,-9.401
364,Exp.4,S4_6,NG,19-ID,4,10.032,19.9,-9.868
365,Exp.4,S4_6,NG,19-ID,5,4.356,26.1,-21.744
366,Exp.4,S4_6,NG,19-ID,6,3.894,12.6,-8.706
367,Exp.4,S4_7,BP,17-ES,1,3.696,12.8,-9.104
368,Exp.4,S4_7,BP,17-ES,2,10.758,6.1,4.658
369,Exp.4,S4_7,BP,17-ES,3,45,6,39
370,Exp.4,S4_7,BP,17-ES,4,45,6.5,38.5
371,Exp.4,S4_7,BP,17-ES,5,45,8,37
372,Exp.4,S4_7,BP,17-ES,6,45,7.9,37.1
373,Exp.4,S4_8,NG,16-JM,1,7.557,10.8,-3.243
374,Exp.4,S4_8,NG,16-JM,2,45,8.9,36.1
375,Exp.4,S4_8,NG,16-JM,3,45,26.4,18.6
376,Exp.4,S4_8,NG,16-JM,4,45,10.8,34.2
377,Exp.4,S4_8,NG,16-JM,5,45,12.3,32.7
378,Exp.4,S4_8,NG,16-JM,6,17.391,21.4,-4.009
379,Exp.4,S4_9,NG,12-MN,1,5.742,40.4,-34.658
380,Exp.4,S4_9,NG,12-MN,2,6.656,5.4,1.256
381,Exp.4,S4_9,NG,12-MN,3,18.205,4.9,13.305
382,Exp.4,S4_9,NG,12-MN,4,33.132,4.7,28.432
383,Exp.4,S4_9,NG,12-MN,5,4.323,4.3,0.023
384,Exp.4,S4_9,NG,12-MN,6,5.038,7.9,-2.862
385,Exp.5,S5_10,DE,12-EA,1,4.125,4.2,-0.075
386,Exp.5,S5_10,DE,12-EA,2,45,45,0
387,Exp.5,S5_10,DE,12-EA,3,38.676,38,0.676
388,Exp.5,S5_10,DE,12-EA,4,28.611,29.3,-0.689
389,Exp.5,S5_10,DE,12-EA,5,14.304,12.8,1.504
390,Exp.5,S5_10,DE,12-EA,6,19.833,18.4,1.433
391,Exp.5,S5_16,NG,18-GK,1,6.798,7.3,-0.502
392,Exp.5,S5_16,NG,18-GK,2,3.927,4.3,-0.373
393,Exp.5,S5_16,NG,18-GK,3,4.191,4.5,-0.309
