orig.method,recoded.method,experiment,coder,trial,look.recoded,look.orig,gap,agree
datavyu,datavyu,Exp.5,BP,4,21.648,22.143,-0.495,1
datavyu,datavyu,Exp.5,BP,5,8.415,8.25,0.165,1
datavyu,datavyu,Exp.5,BP,6,6.27,6.072,0.198,1
datavyu,datavyu,Exp.5,BP,2,6.897,6.666,0.231,1
datavyu,datavyu,Exp.5,BP,1,13.134,10.23,2.904,1
datavyu,datavyu,Exp.5,BP,5,4.917,4.95,-0.033,1
datavyu,datavyu,Exp.5,BP,6,2.211,2.013,0.198,1
datavyu,datavyu,Exp.5,BP,3,7.458,7.227,0.231,1
datavyu,datavyu,Exp.5,BP,4,35.079,34.847,0.232,1
datavyu,datavyu,Exp.5,BP,2,9.306,8.613,0.693,1
datavyu,datavyu,Exp.5,BP,1,11.748,10.626,1.122,1
datavyu,datavyu,Exp.5,BP,6,16.038,17.259,-1.221,0
datavyu,datavyu,Exp.5,BP,4,5.115,4.851,0.264,1
datavyu,datavyu,Exp.5,BP,5,3.927,3.63,0.297,1
datavyu,datavyu,Exp.5,BP,1,16.731,15.411,1.32,1
datavyu,datavyu,Exp.5,BP,2,6.897,2.244,4.653,1
datavyu,datavyu,Exp.5,BP,3,18.744,3.432,15.312,0
datavyu,datavyu,Exp.5,NG,1,43.956,45,-1.044,1
datavyu,datavyu,Exp.5,NG,2,11.846,12.407,-0.561,1
datavyu,datavyu,Exp.5,NG,6,2.541,2.739,-0.198,1
datavyu,datavyu,Exp.5,NG,4,3.861,3.861,0,1
datavyu,datavyu,Exp.5,NG,5,17.457,17.259,0.198,1
datavyu,datavyu,Exp.5,NG,3,5.907,5.38,0.527,1
datavyu,datavyu,Exp.5,NG,4,2.211,4.422,-2.211,1
datavyu,datavyu,Exp.5,NG,1,20.856,21.252,-0.396,1
datavyu,datavyu,Exp.5,NG,2,45,45,0,1
datavyu,datavyu,Exp.5,NG,5,1.287,0.891,0.396,1
datavyu,datavyu,Exp.5,NG,6,7.458,7.03,0.428,1
datavyu,datavyu,Exp.5,NG,3,3.399,2.838,0.561,1
datavyu,datavyu,Exp.5,NG,1,18.48,18.381,0.099,1
datavyu,datavyu,Exp.5,NG,5,6.204,6.039,0.165,1
datavyu,datavyu,Exp.5,NG,2,18.678,17.622,1.056,1
datavyu,datavyu,Exp.5,NG,3,15.477,13.922,1.555,1
datavyu,datavyu,Exp.5,NG,6,10.527,8.745,1.782,1
datavyu,datavyu,Exp.5,NG,4,0,NA,NA,1
datavyu,datavyu,Exp.5,NG,3,6.27,6.468,-0.198,1
datavyu,datavyu,Exp.5,NG,5,6.171,6.204,-0.033,1
datavyu,datavyu,Exp.5,NG,6,5.313,5.313,0,1
datavyu,datavyu,Exp.5,NG,1,7.557,7.524,0.033,1
datavyu,datavyu,Exp.5,NG,2,9.537,9.471,0.066,1
datavyu,datavyu,Exp.5,NG,4,16.302,13.992,2.31,0
jhab,datavyu,Exp.1,BP,4,4.983,5.57,-0.587,1
jhab,datavyu,Exp.1,BP,6,2.739,2.86,-0.121,1
jhab,datavyu,Exp.1,BP,3,4.884,4.27,0.614,1
jhab,datavyu,Exp.1,BP,5,5.511,3.9,1.611,1
jhab,datavyu,Exp.1,BP,2,26.466,16.43,10.036,0
jhab,datavyu,Exp.1,BP,1,31.515,15.22,16.295,0
jhab,datavyu,Exp.1,NG,5,4.323,4.75,-0.427,1
jhab,datavyu,Exp.1,NG,6,5.038,5.27,-0.232,1
jhab,datavyu,Exp.1,NG,2,6.656,6.67,-0.014,1
jhab,datavyu,Exp.1,NG,1,5.742,4.78,0.962,1
jhab,datavyu,Exp.1,NG,3,18.205,16.14,2.065,1
jhab,datavyu,Exp.1,NG,4,33.132,25.83,7.302,0
jhab,datavyu,Exp.1,BP,3,5.94,5.23,0.71,1
jhab,datavyu,Exp.1,BP,2,4.422,2.96,1.462,1
jhab,datavyu,Exp.1,BP,5,6.369,3.8,2.569,1
jhab,datavyu,Exp.1,BP,1,9.702,6.92,2.782,1
jhab,datavyu,Exp.1,BP,4,11.88,6.32,5.56,0
jhab,datavyu,Exp.1,BP,6,22.011,8.12,13.891,0
jhab,datavyu,Exp.1,DE,1,4.422,8.95,-4.528,1
jhab,datavyu,Exp.1,DE,5,3.762,6.84,-3.078,1
jhab,datavyu,Exp.1,DE,4,3.894,6.14,-2.246,1
jhab,datavyu,Exp.1,DE,6,3.036,3.4,-0.364,1
jhab,datavyu,Exp.1,DE,3,6.996,6.51,0.486,1
jhab,datavyu,Exp.1,DE,2,10.131,9.21,0.921,1
jhab,datavyu,Exp.1,BP,4,3.201,3.47,-0.269,1
jhab,datavyu,Exp.1,BP,5,5.148,5.34,-0.192,1
jhab,datavyu,Exp.1,BP,1,3.993,4.03,-0.037,1
jhab,datavyu,Exp.1,BP,6,2.574,2.61,-0.036,1
jhab,datavyu,Exp.1,BP,2,3.465,3.48,-0.015,1
jhab,datavyu,Exp.1,BP,3,4.059,3.45,0.609,1
jhab,datavyu,Exp.1,NG,6,17.391,18.86,-1.469,1
jhab,datavyu,Exp.1,NG,2,45,45,0,1
jhab,datavyu,Exp.1,NG,3,45,45,0,1
jhab,datavyu,Exp.1,NG,4,45,45,0,1
jhab,datavyu,Exp.1,NG,5,45,45,0,1
jhab,datavyu,Exp.1,NG,1,7.557,6.33,1.227,1
jhab,datavyu,Exp.1,BP,1,3.696,4.03,-0.334,1
jhab,datavyu,Exp.1,BP,3,45,45,0,1
jhab,datavyu,Exp.1,BP,4,45,45,0,1
jhab,datavyu,Exp.1,BP,5,45,45,0,1
jhab,datavyu,Exp.1,BP,6,45,45,0,1
jhab,datavyu,Exp.1,BP,2,10.758,9.33,1.428,1
jhab,datavyu,Exp.1,DE,1,2.64,3.1,-0.46,1
jhab,datavyu,Exp.1,DE,3,4.323,4.71,-0.387,1
jhab,datavyu,Exp.1,DE,2,3.597,3.93,-0.333,1
jhab,datavyu,Exp.1,DE,6,1.749,1.95,-0.201,1
jhab,datavyu,Exp.1,DE,4,8.844,8.3,0.544,1
jhab,datavyu,Exp.1,DE,5,9.636,7.7,1.936,1
jhab,datavyu,Exp.1,NG,6,3.894,4.5,-0.606,1
